IdCliente,IdProducto,Ponderacion
1,42786,1
1,42787,4
1,42823,4
1,42881,1
1,42884,5
1,42906,4
1,42972,3
1,42977,5
1,42982,4
1,43009,3
2,42755,5
2,42757,4
2,42759,5
2,42820,5
2,42843,5
2,42863,2
2,42974,4
2,42981,5
2,43011,3
2,43013,3
3,42793,4
3,42816,5
3,42836,5
3,42837,1
3,42847,5
3,42848,4
4,42772,5
4,42778,5
4,42819,3
4,42833,2
4,42843,4
4,42861,5
4,42936,3
4,43022,5
4,43024,5
5,42864,5
5,42870,5
5,42874,5
5,42883,2
5,42901,3
5,42902,3
5,42926,5
5,42948,4
5,42973,4
6,42870,3
6,42877,5
6,42879,5
6,42882,5
6,42934,4
6,42948,4
6,42964,5
6,43005,4
7,42787,3
7,42837,5
7,42845,1
7,42856,4
7,42902,1
7,43017,4
8,42773,4
8,42832,5
8,42879,5
8,42890,5
8,42892,5
8,42894,4
8,42905,4
8,42924,1
8,42930,4
8,42938,4
9,42773,5
9,42785,5
9,42846,4
9,42905,5
9,42939,1
9,42942,2
9,42946,1
9,42955,3
9,42984,5
9,43011,4
9,43016,4
10,42860,4
10,42908,5
10,42936,2
10,42956,5
10,42986,3
11,42763,3
11,42894,4
11,42937,5
11,42938,5
11,42943,4
11,42973,4
11,43002,4
12,42794,5
12,42852,5
12,42919,3
12,42929,2
12,42932,2
12,42950,3
12,42975,5
12,43006,5
12,43012,3
13,42791,4
13,42800,3
13,42949,3
13,43034,4
13,43039,5
14,42798,4
14,42908,5
14,42927,4
14,42949,5
14,42960,5
14,42979,5
14,43010,3
15,42899,3
15,42924,5
15,42975,4
15,43000,5
15,43009,4
16,42796,4
16,42814,3
16,42826,1
16,42954,5
16,42995,5
17,42813,5
17,42823,5
17,42858,3
18,42737,4
18,42762,3
18,42845,5
18,42877,3
18,42881,5
18,42892,2
18,43011,2
18,43029,4
19,42868,2
19,43011,3
19,43018,5
19,43037,1
19,43039,5
20,42798,3
20,42845,5
20,42855,5
20,42860,3
20,42862,5
21,42755,3
21,42869,4
21,42912,1
23,42769,5
23,42827,5
23,42938,4
23,42951,5
23,42965,1
23,43010,2
24,42757,5
24,42842,4
24,42879,4
24,42896,4
24,42962,4
24,42969,2
25,42801,5
25,42908,5
25,42921,4
25,42954,2
25,42999,4
25,43009,4
25,43010,4
25,43013,4
26,42786,2
26,42906,4
26,42911,5
26,42912,4
26,42913,4
26,42988,5
27,42754,4
27,42766,5
27,42816,4
27,42849,5
27,42933,5
27,42941,4
27,43019,3
27,43042,5
28,42758,5
28,42819,5
28,42893,1
29,42760,4
29,42761,4
29,42772,5
29,42801,2
29,42859,5
29,42894,5
29,42910,4
29,42922,3
29,42932,4
29,42968,2
30,42813,4
30,42922,3
30,42981,2
30,42994,3
30,43010,2
30,43017,2
30,43029,5
30,43030,1
31,42760,4
31,42800,5
31,42839,4
31,42849,5
31,42868,5
31,42973,4
31,43027,5
32,42766,1
32,42831,3
32,42881,5
32,42907,4
32,42956,4
32,42957,5
32,43002,5
32,43020,5
32,43037,5
33,42760,2
33,42792,5
33,42839,4
33,42845,4
33,42879,5
33,42902,4
33,42984,4
34,42866,4
34,42926,5
34,42953,5
34,42954,2
34,42990,1
34,43016,2
34,43017,4
34,43018,2
34,43023,5
35,42819,5
35,42844,4
35,42876,5
35,42894,5
35,42988,2
35,42993,3
35,43019,5
35,43031,3
36,42763,4
36,42766,5
36,42788,5
36,42821,4
36,42874,5
36,42921,4
36,42987,5
36,42993,3
36,43005,4
37,42799,4
37,42839,4
37,42871,5
37,42943,3
37,43041,3
38,42846,5
38,42903,3
38,42951,5
38,42981,4
38,42989,1
38,42998,5
38,43014,5
38,43020,5
39,42917,3
39,42923,5
39,43019,5
40,42800,4
40,42898,4
40,42938,4
40,42972,4
40,42998,3
40,43021,3
41,42789,5
41,42903,5
41,42991,5
41,42996,5
42,42842,3
42,42868,5
42,42919,3
42,43028,5
43,42769,4
43,42901,4
43,42957,5
43,42969,3
44,42783,4
44,42797,4
44,42860,3
44,42875,5
44,42889,4
44,42923,4
44,42926,1
44,43010,3
44,43014,2
44,43041,4
45,42791,4
45,42815,4
45,42854,4
45,42863,4
45,42936,5
45,42956,2
45,42970,4
46,42773,4
46,42787,5
46,42793,5
46,42801,5
46,42816,4
46,42986,5
46,42996,3
47,42786,5
47,42787,4
47,42903,4
47,42904,5
47,42923,4
47,42971,4
47,43007,4
47,43029,3
47,43038,4
48,42758,5
48,42785,4
48,42814,3
48,42851,5
48,42860,4
48,43035,5
49,42785,5
49,42790,4
49,42794,4
49,42837,5
49,42850,4
49,42983,1
50,42765,4
50,42779,4
50,42800,5
50,42873,2
50,42921,4
50,42959,5
50,42962,3
50,42967,5
51,42767,5
51,42773,5
51,42781,5
51,42794,5
51,42846,1
51,42857,5
51,42858,4
51,43016,4
52,42762,3
52,42832,2
52,42842,5
52,42860,4
52,42868,5
52,43015,4
53,42824,4
53,42830,4
53,42838,4
53,42860,2
53,42867,4
53,42885,3
53,42904,3
53,42932,5
53,42957,5
53,42965,4
53,43023,3
54,42783,4
54,42839,1
54,42841,5
54,42883,3
54,42886,4
54,42890,1
55,42854,2
55,42866,4
55,42875,5
55,42881,5
55,42945,5
55,43042,5
56,42849,3
56,42858,5
56,42912,4
56,42918,4
56,42963,4
56,43000,5
57,42844,1
57,42879,2
57,42889,4
57,42899,5
57,42905,5
57,42908,4
57,42927,4
57,42942,4
57,42950,3
57,42951,5
57,42968,4
57,42971,4
57,42972,5
58,42756,4
58,42837,4
58,42878,1
58,42892,5
58,42893,4
58,42947,5
58,42949,5
58,42993,5
58,43012,3
60,42812,5
60,42865,4
60,42895,3
60,42901,5
60,42915,5
60,42956,4
60,42965,3
60,42984,5
60,42990,5
60,43014,4
60,43032,4
61,42876,4
61,42934,3
61,43000,3
61,43032,5
62,42762,5
62,42812,5
62,42913,5
62,42929,1
62,42940,5
63,42769,4
63,42824,4
63,42895,4
63,42912,3
63,42940,5
63,43032,2
64,42903,2
65,42759,5
65,42761,2
65,42776,4
65,42885,1
65,42916,1
65,42921,3
65,42936,4
65,42985,1
65,42987,3
65,43013,5
68,42755,3
68,42773,5
68,42925,4
68,42931,3
68,42984,4
69,42913,4
69,42918,4
